Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,420.8700656890869
10,1703,3279,2203.432,67,1022.071123123169
15,1974,4545,3183.914,1,2233.100175857544
20,3874,6906,5293.012,1,4208.822727203369
25,4256,8694,6679.611,1,6654.080629348755
30,5554,10995,8273.329,1,9765.757322311401
35,6791,12489,9601.195,1,13405.15398979187
40,7662,13748,11075.608,1,25313.47966194153
45,9913,16467,13077.832,1,33041.98503494263
50,10020,18686,14497.634,1,40931.12754821777
