Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,2250.609874725342
10,1703,2954,2039.73,99,5243.27540397644
15,1801,3530,2608.166,1,10896.84510231018
20,3171,5300,4201.186,1,20351.97401046753
25,3397,6218,4759.899,1,32972.82958030701
30,3806,7724,5693.757,1,48962.24236488342
35,4330,8120,6320.236,1,68351.7038822174
40,4415,9582,7064.225,1,130158.94794464111
45,6359,10788,8630.993,1,165953.32622528076
50,7026,11760,9551.048,1,206123.0275630951
