Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,711.646556854248
10,1703,3054,2087.849,92,1728.426218032837
15,2079,3857,2907.693,1,4329.687595367432
20,3599,6206,4831.437,1,7444.824695587158
25,4368,8090,5912.062,1,11260.845422744751
30,5249,9558,7282.128,1,16436.691284179688
35,5725,10888,8309.435,1,22831.568956375122
40,6788,12169,9582.245,1,42138.89527320862
45,8466,14316,11369.102,1,55372.270822525024
50,9368,15743,12672.373,1,69058.5834980011
