Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,23021.411180496216
10,1703,2954,2050.824,94,59774.147510528564
15,1801,3446,2578.578,2,134181.95247650146
20,3050,4944,4029.266,1,227673.40421676636
25,2975,5661,4238.65,1,372592.1747684479
30,3117,6493,4651.236,1,536758.6815357208
