Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,45517.75026321411
10,1703,2954,2036.607,116,115035.40301322937
15,1801,3766,2599.79,4,252026.6728401184
20,3141,5054,4044.677,1,480230.1802635193
25,3033,5785,4240.319,1,730096.2796211243
