Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1802,1802,1802.0,1000,29.02388572692871,36.035776138305664
10,1703,2765,2013.688,134,1703,2872,2020.961,131,280.245304107666,306.2925338745117
15,1801,3518,2541.735,1,1801,3503,2525.489,3,1190.6402111053467,1207.765817642212
20,3176,4915,3967.807,1,3097,5036,3981.241,1,3569.282054901123,3547.3222732543945
25,3018,5380,4169.717,1,2881,5588,4148.079,1,8289.878368377686,8322.354078292847
30,3227,6120,4591.124,1,3296,6178,4583.655,1,16600.566625595093,16470.377922058105
35,3463,6638,4723.51,1,3404,6737,4764.687,1,30153.834104537964,29645.316123962402
40,3503,6514,4894.615,1,3153,6646,4829.675,1,56271.15249633789,55944.791316986084
45,4281,7674,5848.281,2,3941,7599,5855.846,1,88227.80394554138,87163.08879852295
50,4650,8055,6277.323,1,4857,7829,6273.661,1,126607.38921165466,126899.01518821716
