Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,636.5783214569092
10,1703,2964,2118.435,87,1558.415174484253
15,1993,4042,2973.681,1,3761.1279487609863
20,3767,6477,4946.876,1,6647.077322006226
25,4120,8221,6072.872,1,10189.355611801147
30,5133,9976,7519.303,1,16181.577444076538
35,6514,11191,8567.916,1,21830.605506896973
40,7061,12757,9823.192,1,41642.590045928955
45,8125,15141,11754.913,1,55891.600370407104
50,9844,16792,13030.45,1,65116.60361289978
