Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,233.21008682250977
10,1703,3633,2458.244,17,532.7854156494141
15,2306,5168,3685.067,1,1119.0237998962402
20,4044,8181,6026.73,1,2176.6834259033203
25,5278,10266,7795.53,1,3558.379888534546
30,6647,12911,9754.012,1,5205.3773403167725
35,7533,14847,11387.649,1,6879.66513633728
40,9910,16964,13163.084,1,13085.49976348877
45,11541,19443,15485.865,1,17077.694177627563
50,13030,21665,17152.988,1,21172.010898590088
