Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,2331,1812.807,975,89.0798568725586
10,1868,4701,3018.205,5,204.18429374694824
15,2842,6589,4602.932,1,437.39914894104004
20,5163,10406,7411.108,1,804.7301769256592
25,6839,12865,9757.111,1,1309.1881275177002
30,8990,15646,11972.56,1,2106.924057006836
35,10127,17382,14108.54,1,2605.1981449127197
40,10894,21432,16159.911,1,5435.59718132019
45,13719,23711,18888.29,1,6566.0364627838135
50,15077,26180,20716.093,1,8243.905544281006
