Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,2145.1539993286133
10,1703,2954,2040.484,103,5255.837440490723
15,1801,3583,2613.853,1,11100.743293762207
20,3128,5296,4217.365,1,21267.677068710327
25,3406,6346,4801.577,1,36671.93150520325
30,4099,7147,5687.154,1,57558.13455581665
35,4370,8458,6350.168,1,83955.54208755493
40,4789,9119,7037.609,1,157544.97170448303
45,6591,10493,8605.73,1,176090.1107788086
50,7553,11723,9519.512,1,220260.57648658752
