Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,267.2441005706787
10,1703,3464,2425.601,21,560.5075359344482
15,1922,5269,3608.171,1,1282.3383808135986
20,4004,7838,5944.686,1,2370.70894241333
25,5136,10114,7701.206,1,3774.402141571045
30,6734,12802,9641.899,1,5698.729515075684
