Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,445.76573371887207
10,1703,3127,2195.537,62,1087.8939628601074
15,1801,4329,3146.081,1,2124.005079269409
20,3694,6775,5266.032,1,4140.991449356079
25,4485,8592,6597.593,1,6639.91379737854
30,5628,11125,8195.951,1,9727.009296417236
35,6483,12270,9503.629,1,13663.73610496521
40,8075,13783,10896.136,1,25620.495080947876
45,9711,16167,12959.258,1,33685.35614013672
50,10548,18978,14372.78,1,41150.79689025879
