Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,2165.383815765381
10,1703,2954,2029.245,126,5302.99973487854
15,1801,3685,2620.084,1,11002.078294754028
20,3114,5280,4202.266,1,21613.240480422974
25,3395,6280,4764.8,1,34322.08514213562
30,3749,7396,5666.469,1,50970.63946723938
35,4253,7913,6316.714,1,71948.7533569336
40,5065,9140,7028.392,1,148101.96137428284
45,5834,10652,8623.05,1,183019.22965049744
50,6608,11678,9565.727,1,226864.70413208008
