Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1802,1802,1802.0,1000,28.023481369018555,66.06245040893555
10,1703,2954,2019.947,124,1703,2620,1926.622,199,270.25341987609863,490.4370307922363
15,1909,3631,2538.501,1,1801,3088,2399.198,4,1181.0564994812012,1813.1747245788574
20,3112,5217,3971.206,1,3079,4814,3832.584,1,3532.4761867523193,5062.860488891602
25,2972,5719,4164.384,1,2715,5064,3955.297,1,8187.344312667847,11362.433433532715
30,3170,6451,4562.767,1,3049,5794,4330.845,1,16632.608890533447,22434.53335762024
35,3488,6221,4734.781,1,3062,6081,4472.354,1,30229.82096672058,40160.16697883606
40,3207,6610,4854.387,1,3137,6087,4589.514,1,53910.6502532959,70341.50123596191
45,4424,7502,5854.969,1,4108,7298,5557.498,1,83025.82669258118,106399.02901649475
50,4770,7937,6275.423,1,4743,7679,6009.176,1,125169.62122917175,156867.19465255737
