Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,3056,1851.185,888,63.05718421936035
10,1868,4796,3279.07,1,147.13358879089355
15,3003,7119,4973.178,1,313.28415870666504
20,5307,10495,8028.734,1,590.53635597229
25,7123,14111,10451.131,1,911.8285179138184
30,9092,16433,12816.336,1,1521.7461585998535
35,10466,18847,14997.883,1,1963.0818367004395
40,10821,22497,17148.337,1,4210.1171016693115
45,15208,25989,20015.168,1,4967.554569244385
50,16381,26951,21855.553,1,6281.078815460205
