Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,215.1947021484375
10,1703,3561,2464.634,14,511.46483421325684
15,2164,5116,3675.585,1,1051.4564514160156
20,4311,8351,6102.314,1,2064.1233921051025
25,5438,10291,7860.602,1,3215.946674346924
30,6875,12634,9781.972,1,4825.881004333496
35,8237,14692,11430.705,1,6685.33182144165
40,9300,17040,13235.446,1,12472.39875793457
45,11136,20282,15599.912,1,16559.805154800415
50,13727,21354,17211.533,1,20305.80449104309
