Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,822.3681449890137
10,1703,2954,2082.12,86,2017.4200534820557
15,1865,3752,2839.423,1,4635.266304016113
20,3491,6171,4711.825,1,8393.731117248535
25,3933,7670,5727.078,1,12903.298139572144
30,4629,9026,6995.689,1,19220.213651657104
35,5522,10207,8012.126,1,27059.492588043213
40,6279,11913,9180.516,1,51058.41946601868
45,8408,13653,10983.115,1,65184.58914756775
50,9796,14949,12174.767,1,82390.48743247986
