Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,2331,1809.348,984,97.08881378173828
10,1703,4238,2982.521,2,210.17122268676758
15,2745,6966,4529.935,1,435.3945255279541
20,5115,10115,7301.701,1,824.791431427002
25,6043,13180,9623.486,1,1317.7549839019775
30,8684,15642,11811.746,1,1924.7510433197021
35,10323,18250,13998.295,1,2818.7460899353027
40,10837,19914,16017.45,1,5531.123161315918
45,13536,24315,18726.173,1,6755.785226821899
50,16140,25692,20584.023,1,8438.259840011597
