Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,599.5445251464844
10,1703,3127,2118.945,70,1419.2883968353271
15,1934,4136,3006.118,1,3159.869909286499
20,3591,6613,4988.828,1,5808.487176895142
25,4187,8065,6161.138,1,9410.82787513733
30,5546,10333,7612.887,1,14083.524465560913
35,5957,11371,8747.695,1,19449.20063018799
40,6842,13778,10020.432,1,37455.851793289185
45,9290,16026,12004.414,1,46511.40546798706
50,10066,17334,13249.721,1,61165.78531265259
