Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,4111.039161682129
10,1703,2954,2034.724,111,10022.478580474854
15,1801,3402,2561.382,1,20859.127283096313
20,3090,4971,4041.199,1,40558.24971199036
25,3076,5525,4417.108,1,64727.06127166748
30,3245,7051,5093.671,1,95444.71955299377
35,3948,7169,5603.542,1,133613.89350891113
40,4214,8064,6108.621,1,259420.58110237122
45,5868,9312,7499.284,1,332105.89933395386
50,5811,10263,8313.581,1,405725.60691833496
