Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,12589.44034576416
10,1703,2954,2047.182,122,30215.11197090149
15,1801,3480,2583.622,2,66040.97247123718
20,3009,5318,4040.58,1,124323.6792087555
25,3067,5638,4251.369,1,215439.5079612732
30,3323,6214,4663.168,1,337229.5093536377
