Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,147.64046669006348
10,1703,3868,2685.092,10,343.1277275085449
15,2239,5742,4063.604,1,804.2275905609131
20,4163,8576,6651.842,1,1375.9572505950928
25,6097,11739,8689.579,1,2141.9451236724854
30,8052,14544,10768.736,1,3264.964818954468
35,8802,16778,12634.763,1,4460.461616516113
40,10434,18973,14514.309,1,8166.011571884155
45,12847,21076,17065.225,1,10752.897262573242
50,14700,22513,18768.061,1,13072.072744369507
