Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,48841.74919128418
10,1703,2872,2051.495,103,114784.5630645752
15,1801,3556,2599.326,1,254258.23998451233
20,3080,5356,4028.82,1,464910.03680229187
25,2870,6304,4243.009,1,725299.117565155
