Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,21935.47010421753
10,1703,2954,2057.502,85,52423.66075515747
15,1801,3441,2566.173,2,119259.28974151611
20,3149,5016,4036.856,1,229683.51006507874
25,2766,5574,4218.792,1,342374.18389320374
30,3145,6410,4642.177,1,494466.6349887848
