Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,21279.374837875366
10,1703,2954,2042.55,94,51241.607427597046
15,1908,3510,2585.392,1,111599.8899936676
20,3029,5171,4019.689,1,206390.54369926453
25,2878,5766,4239.191,1,335766.7946815491
30,3276,6312,4657.7,1,496872.84302711487
