Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,21594.520330429077
10,1703,2954,2041.301,112,51572.67928123474
15,1801,3591,2591.786,1,112329.57530021667
20,2949,5035,4025.647,1,222731.29296302795
25,2924,5830,4262.883,1,365745.0053691864
30,3272,6204,4648.758,1,530982.7363491058
