Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1802,1802,1802.0,1000,27.02617645263672,57.892799377441406
10,1703,2826,2022.028,94,1703,2628,1910.082,203,307.27267265319824,443.408727645874
15,1801,3601,2527.919,3,1801,3162,2391.159,1,1242.1302795410156,1926.7141819000244
20,3009,5148,3982.149,1,3089,4713,3825.352,1,3761.460065841675,5620.765686035156
25,2801,5410,4187.885,1,2865,5208,3952.711,1,8652.356147766113,11803.333044052124
30,3187,6231,4555.214,1,3118,5983,4339.396,1,17027.530431747437,22767.17972755432
35,3391,6321,4767.128,1,3011,6093,4490.897,1,31688.64107131958,42042.83046722412
40,3370,6520,4864.416,1,3100,6019,4590.854,1,54740.349531173706,70438.7743473053
45,3993,7487,5862.909,1,3702,7160,5585.398,1,85060.55903434753,108883.95810127258
50,4712,7765,6284.671,1,4668,7579,6016.485,1,126296.4301109314,157097.72324562073
