Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,2331,1806.36,990,111.10091209411621
10,1703,4265,2859.09,1,260.2362632751465
15,2547,6308,4316.306,1,563.5113716125488
20,4691,9787,7043.47,1,1110.3155612945557
25,6219,12848,9228.979,1,1689.2149448394775
30,8094,15171,11402.599,1,2456.120014190674
35,9684,16842,13375.844,1,3503.0269622802734
40,11076,20185,15439.978,1,6301.734447479248
45,12287,22643,18060.808,1,8312.686204910278
50,15174,27273,19801.877,1,10238.026857376099
